processing_time,queue_time,machine_downtime,resource_utilization,defect_rate,batch_size,customer_satisfaction,system_efficiency
26.4,12.65,1.47,83.17,2.13,325,91.41,83.26
27.7,11.96,0.31,79.58,1.83,330,77.57,85.6
35.29,5.27,2.99,85.79,2.19,324,89.7,84.53
31.72,14.43,0.63,69.19,1.94,310,75.95,94.8
21.18,14.14,1.37,82.11,2.23,380,74.32,82.71
31.62,8.12,0.67,74.89,1.75,256,99.98,80.44
28.07,11.19,0.29,86.47,1.91,433,88.67,84.97
26.62,11.48,1.99,65.65,1.51,377,82.93,84.62
33.06,10.78,0.11,82.84,1.98,260,78.64,85.98
35.15,8.35,2.76,67.41,1.59,264,88.12,82.71
34.66,7.99,0.76,71.15,1.44,460,71.49,85.55
25.8,9.92,0.0,68.75,2.13,89,72.84,85.65
28.45,13.52,1.43,67.31,2.11,75,70.99,89.53
31.66,11.63,0.1,93.03,2.39,76,84.98,85.47
34.88,8.89,0.65,71.43,1.78,239,88.02,85.51
27.6,12.32,2.46,97.08,2.2,132,71.87,87.58
29.07,1.45,0.13,98.8,2.28,433,91.64,89.34
24.47,13.45,3.66,82.85,2.22,483,76.91,80.08
24.02,4.78,0.01,65.72,1.59,219,90.56,78.74
34.06,8.91,0.57,74.98,2.07,462,99.46,93.48
36.78,6.64,2.7,91.91,2.18,216,90.73,88.52
29.64,6.12,0.76,74.7,2.0,237,96.5,83.9
35.02,13.48,0.21,63.48,0.96,218,98.45,85.1
31.81,8.6,0.89,82.27,2.08,338,84.6,83.04
26.77,11.04,0.63,93.8,3.11,278,91.07,86.06
31.81,9.86,3.7,91.84,1.82,146,95.56,80.14
37.69,11.43,0.75,67.0,1.64,416,80.7,89.2
29.82,10.23,3.11,86.91,2.19,65,77.84,85.88
37.82,6.15,4.45,68.82,2.16,328,98.4,86.06
16.9,12.99,1.14,68.73,2.6,184,91.79,80.53
34.11,8.52,4.81,94.96,1.37,75,76.59,87.62
30.44,5.33,0.95,69.99,2.37,401,83.47,80.65
28.5,8.72,6.65,70.53,2.3,61,93.89,81.54
30.46,14.5,0.19,60.03,1.93,121,86.41,85.44
20.06,12.55,2.32,94.83,2.17,182,89.5,97.54
28.9,8.95,1.36,91.7,2.51,155,92.61,85.86
31.79,8.95,0.98,85.09,2.44,269,88.66,72.16
37.39,9.04,2.0,90.01,1.43,422,86.2,81.79
27.41,16.23,2.43,66.08,2.41,226,92.49,88.42
25.96,11.15,0.01,78.33,1.97,331,91.83,79.36
27.49,11.29,0.37,74.05,2.04,182,88.9,89.16
34.58,13.09,2.5,63.75,2.04,71,80.79,85.79
31.64,10.72,2.2,79.45,1.92,318,82.17,89.96
27.35,9.22,6.77,96.83,2.6,461,99.11,82.21
32.57,9.41,2.86,61.6,1.96,210,73.37,81.82
30.49,9.79,6.02,71.66,1.44,156,78.06,87.82
34.84,9.89,2.42,68.3,1.8,328,84.77,84.96
26.49,12.18,0.71,69.53,2.09,402,95.1,84.66
28.36,10.16,0.22,96.34,2.61,284,74.91,92.84
28.04,12.2,3.04,78.72,2.3,67,78.31,88.02
22.68,9.76,2.07,78.65,1.57,291,71.97,75.05
31.48,10.24,0.1,90.42,3.24,166,91.18,89.0
31.31,4.01,0.89,66.18,2.13,335,77.15,88.49
30.03,12.75,6.28,79.49,2.64,331,81.66,90.92
28.83,11.04,1.39,77.2,1.92,193,83.31,80.3
22.92,12.99,1.13,83.88,2.27,254,96.74,86.62
27.9,1.31,1.22,99.98,2.42,88,82.34,85.56
28.29,16.27,0.47,90.78,2.61,466,74.36,80.21
25.99,9.58,0.92,75.91,2.53,203,85.73,89.73
29.19,13.32,0.92,93.1,2.44,225,98.89,83.79
32.02,6.88,0.11,66.83,1.84,498,88.23,90.76
39.43,11.84,2.92,61.22,1.71,290,99.5,81.29
30.87,6.84,1.08,68.18,2.17,471,95.23,77.7
31.29,8.13,3.45,73.62,2.47,435,71.08,83.79
29.63,15.74,3.8,80.42,1.89,418,89.75,86.16
20.41,9.43,0.48,84.61,2.53,183,78.6,82.33
29.87,10.65,2.14,96.42,2.73,95,86.79,69.68
30.3,12.61,1.28,80.39,1.54,99,78.38,86.92
42.32,11.49,4.24,80.05,1.58,215,80.47,86.89
29.04,10.45,0.49,62.01,1.93,155,97.7,88.44
31.51,11.09,2.27,61.4,2.15,265,76.2,83.1
29.83,17.21,1.87,82.05,1.74,195,96.22,82.82
24.16,9.83,0.7,77.53,2.68,460,70.91,92.2
35.71,10.6,0.29,93.57,2.21,474,72.73,77.12
33.76,13.15,2.11,66.43,2.02,121,95.64,83.76
33.96,13.32,2.68,61.0,1.28,379,88.92,85.71
25.45,13.56,0.76,77.96,1.34,322,92.42,88.03
37.01,11.92,2.07,69.5,2.14,296,76.28,85.85
22.99,6.57,1.01,61.98,0.93,495,86.11,80.39
32.93,14.9,2.5,88.98,2.51,462,92.12,90.84
40.95,6.56,0.44,64.46,1.92,235,88.82,85.01
25.05,10.91,4.42,84.33,3.62,119,84.15,76.66
27.17,7.74,0.68,71.24,3.15,199,98.79,86.05
30.5,9.81,0.92,66.94,1.91,295,90.28,87.38
27.48,10.99,0.12,75.19,1.95,311,97.23,94.8
22.25,10.96,0.24,92.06,2.5,75,91.89,87.04
30.34,11.27,1.45,75.68,2.85,472,92.06,77.59
24.69,14.84,0.62,90.03,1.18,189,72.4,77.77
32.37,11.36,3.61,65.02,1.11,148,80.78,91.29
25.4,9.27,0.03,90.91,1.69,447,95.75,80.99
37.75,12.89,0.95,69.48,2.29,327,76.98,77.25
26.08,13.57,0.82,87.1,2.25,100,73.47,90.0
28.39,6.32,0.04,82.63,2.53,200,79.78,82.62
34.07,11.79,0.27,97.17,1.4,481,76.61,89.74
23.85,12.1,1.07,75.49,0.84,153,97.76,80.43
31.14,9.11,1.36,62.65,2.43,483,96.04,92.37
36.54,14.13,1.04,60.77,1.59,138,84.99,89.36
21.96,9.55,1.51,93.07,0.99,190,71.84,81.39
30.92,10.38,1.81,80.99,2.07,262,91.44,76.7
31.3,9.48,0.02,91.01,2.4,282,88.7,96.53
33.91,10.05,1.25,69.38,1.94,443,99.12,83.95
23.82,6.71,6.62,73.8,1.77,232,86.77,81.19
23.4,5.68,1.46,61.2,1.92,300,80.09,91.93
32.61,14.78,2.26,98.46,1.81,58,85.57,89.73
31.48,7.46,0.75,86.71,1.33,128,99.38,90.91
31.25,7.03,2.97,97.33,1.64,101,90.89,84.51
31.73,3.54,2.96,70.62,2.26,435,90.16,94.41
26.6,8.08,1.47,84.46,2.16,458,77.22,78.45
31.16,6.03,7.46,87.14,2.08,318,92.31,82.24
31.47,14.93,0.27,72.7,1.5,275,92.51,86.95
26.43,13.03,0.03,93.92,1.91,100,79.52,90.84
39.33,7.94,2.94,97.89,0.91,235,84.51,88.31
32.37,16.76,3.29,95.39,2.09,83,78.84,84.59
24.04,12.95,0.26,89.56,2.71,340,77.76,82.62
33.28,9.03,0.62,71.1,1.26,279,70.78,90.87
25.13,2.5,0.04,71.26,1.71,180,78.56,88.82
33.94,16.87,0.69,98.53,2.16,169,86.62,80.63
35.79,5.83,2.97,60.41,2.63,492,70.05,80.48
25.9,5.06,1.46,88.64,1.78,375,78.5,82.27
34.82,13.07,0.86,88.25,1.65,296,96.44,81.63
32.06,17.32,0.93,84.91,1.02,481,87.81,90.15
34.11,14.15,0.0,99.6,2.05,241,88.24,87.18
39.48,11.69,0.71,72.48,3.02,452,82.1,87.79
28.77,11.78,2.08,73.6,2.14,372,90.29,85.96
26.23,12.56,7.31,63.16,1.99,259,75.7,86.19
25.55,12.28,3.76,77.71,2.16,152,94.56,77.09
25.92,10.84,0.05,70.44,1.99,378,73.5,88.97
29.61,10.31,4.58,73.74,1.59,421,89.68,82.18
31.71,9.81,3.06,93.38,2.41,182,80.23,84.83
31.38,7.74,3.03,97.42,2.11,372,92.43,82.63
34.14,9.16,1.22,67.43,2.01,188,86.49,85.73
30.07,4.92,1.02,74.9,1.51,170,83.57,87.87
37.27,9.7,0.72,97.15,2.65,143,75.08,79.96
28.68,7.03,0.14,62.47,2.33,178,89.1,86.26
43.6,6.69,0.52,63.69,1.72,140,99.24,82.75
33.13,10.54,0.57,66.51,2.5,141,94.77,91.61
25.71,14.18,1.32,83.81,1.75,112,71.8,79.43
24.65,12.75,2.75,66.02,1.61,78,81.29,79.99
32.41,5.29,1.28,98.72,1.62,259,97.77,83.2
28.88,7.03,0.12,77.87,1.11,61,85.09,80.37
33.57,12.82,6.33,80.06,2.24,382,89.86,83.88
32.37,7.05,5.72,69.87,1.08,346,97.38,82.36
29.64,9.33,3.08,78.84,1.39,179,96.21,85.44
25.77,11.65,9.5,86.48,0.96,342,85.05,90.04
22.43,7.09,1.57,90.05,1.96,222,83.13,85.36
27.77,10.32,6.58,90.15,1.92,257,80.19,85.81
34.28,6.0,0.16,83.12,1.84,481,91.57,79.71
31.07,8.2,0.91,96.17,1.48,73,78.61,84.33
23.77,10.96,0.51,92.7,1.41,148,77.5,82.89
30.87,5.22,0.44,90.28,2.23,455,80.69,88.41
31.93,11.32,0.3,62.22,1.72,405,75.32,81.18
25.58,9.94,1.95,60.28,2.16,188,90.85,80.7
30.77,11.66,3.04,68.5,1.56,363,88.49,86.59
30.29,10.67,1.73,86.54,2.09,223,84.49,94.9
24.29,14.09,0.32,76.45,2.65,78,81.71,84.12
31.79,10.38,3.33,76.1,2.29,468,97.27,85.84
32.8,8.71,2.02,95.38,1.79,192,70.87,89.74
35.42,10.37,0.98,95.82,2.13,365,93.07,87.55
35.27,11.63,2.24,96.37,1.88,400,97.06,87.58
23.11,10.15,0.6,72.56,2.0,91,83.39,84.52
25.31,10.12,0.85,87.64,1.84,348,86.52,84.62
32.58,7.89,4.99,70.87,1.92,257,98.33,81.22
32.57,8.01,0.69,67.62,2.11,379,76.37,87.43
32.58,5.79,1.27,67.39,1.5,482,85.6,87.32
49.26,15.25,4.42,73.68,1.49,241,84.24,88.59
32.85,6.27,2.46,77.2,1.31,209,77.75,82.56
35.68,7.92,0.13,93.24,1.2,113,94.56,89.15
34.77,7.84,0.32,64.8,1.39,292,96.99,90.67
33.26,12.68,0.02,89.4,2.08,307,93.46,78.93
28.42,9.12,1.99,81.26,1.55,201,75.86,83.52
33.79,13.74,1.19,71.52,2.26,264,72.6,90.88
26.14,7.98,0.29,79.71,2.02,371,88.16,81.75
28.82,10.84,6.34,72.0,1.02,215,71.71,87.64
27.57,7.49,1.51,83.84,2.33,80,90.18,85.04
30.41,16.44,0.55,77.35,2.41,420,85.91,86.65
41.57,6.44,1.39,66.58,1.5,281,89.88,85.2
20.66,10.93,2.28,64.66,2.21,331,87.71,88.73
33.43,11.9,0.16,81.87,1.57,78,82.68,79.89
21.94,11.24,0.64,96.1,2.05,244,76.03,80.43
27.64,9.44,3.29,73.76,1.37,383,79.17,92.32
35.44,9.61,1.23,89.32,1.1,305,85.74,95.5
30.32,10.13,1.58,86.35,1.81,330,89.56,84.97
24.61,9.56,1.13,97.26,1.94,353,93.38,93.58
26.42,12.89,0.09,92.84,1.8,370,93.02,81.14
33.4,16.63,0.36,82.66,1.41,486,99.18,82.34
26.35,8.33,1.18,86.28,1.8,372,78.58,92.29
31.08,5.89,0.47,95.94,2.13,395,72.13,89.02
30.23,9.74,0.1,75.98,1.98,451,80.37,93.03
26.74,17.74,3.71,73.07,2.09,442,92.3,87.34
40.72,7.59,7.95,60.43,1.66,343,83.14,79.94
33.17,14.92,3.15,93.06,2.59,136,94.53,86.12
19.87,15.03,3.85,92.04,1.41,198,86.48,91.01
30.93,8.34,0.55,64.18,2.24,298,97.89,84.34
26.69,11.71,6.47,83.07,2.59,370,98.44,83.57
34.26,14.89,0.44,78.56,2.24,454,72.08,87.42
26.04,8.86,6.05,64.75,1.9,332,83.69,82.2
29.43,9.39,10.53,99.22,1.74,411,88.29,86.48
32.52,8.25,2.49,68.59,2.52,428,77.68,85.32
34.33,6.96,7.94,62.69,1.29,247,82.21,82.55
24.0,8.05,1.69,83.79,1.51,93,90.33,89.9
28.33,6.33,0.6,89.55,1.8,405,76.8,88.23
27.63,10.1,1.15,61.3,2.62,77,88.06,83.23
26.73,7.69,1.8,86.35,2.19,478,90.92,84.93
38.83,10.7,0.15,81.29,1.52,66,72.71,83.64
32.02,5.33,1.95,64.13,1.84,176,84.93,81.81
23.7,10.99,7.95,66.9,1.69,428,77.89,76.51
34.59,12.5,0.42,82.72,1.65,217,91.73,82.58
40.61,4.02,3.15,71.85,2.49,293,75.69,81.88
35.16,11.12,4.77,97.53,1.31,436,96.77,85.57
22.4,13.68,5.75,92.75,2.8,125,82.93,87.2
27.58,6.37,6.44,99.34,2.41,280,75.94,80.99
36.33,15.02,1.47,70.39,2.55,253,83.14,86.87
26.46,11.26,7.57,98.79,1.77,499,82.26,80.22
32.22,7.88,2.83,77.25,1.93,297,82.87,84.37
33.87,9.83,0.35,73.9,1.28,351,87.57,81.99
25.37,11.67,1.3,62.01,1.74,263,85.64,88.73
29.7,10.23,2.53,62.11,2.25,264,74.49,85.58
13.79,11.62,0.57,87.68,2.65,207,71.97,84.45
24.88,7.24,2.05,78.32,1.45,118,91.88,81.87
28.74,10.51,2.2,69.06,1.82,442,86.79,83.36
23.76,5.76,0.36,84.56,1.92,134,80.77,94.15
38.16,9.67,1.67,70.11,1.3,316,94.25,82.49
22.85,7.29,2.95,83.11,2.3,118,81.64,87.4
27.8,7.79,1.38,74.37,1.64,148,93.88,84.44
30.65,13.71,0.02,92.94,1.9,396,79.17,87.25
37.21,13.27,0.02,92.83,1.77,499,72.19,89.18
22.82,11.83,0.88,79.09,1.61,265,97.98,83.23
35.82,6.72,5.21,74.03,2.0,464,81.84,88.55
30.05,9.05,0.52,74.5,1.89,210,93.78,98.78
25.09,13.64,2.01,92.23,1.81,472,78.37,87.84
32.31,10.43,0.5,73.13,1.64,143,89.39,93.07
31.0,16.96,0.78,68.36,2.16,223,96.2,87.41
27.0,11.18,3.77,63.39,2.83,214,71.25,80.34
30.35,10.58,2.61,78.67,2.07,164,94.92,86.38
28.07,9.07,0.2,79.29,2.5,269,87.14,83.35
30.57,10.4,1.12,93.64,1.3,493,88.22,82.02
33.31,9.54,0.06,68.85,2.08,80,85.69,84.64
37.93,12.12,1.31,75.24,1.45,60,96.23,84.23
23.81,12.87,2.17,92.34,1.26,392,71.3,79.7
40.67,7.64,0.25,92.94,1.63,426,77.83,98.54
20.24,6.01,0.68,75.38,2.6,179,96.27,89.04
29.24,4.49,1.01,78.36,2.48,154,92.57,86.22
32.94,11.52,5.04,72.13,2.12,76,70.53,85.45
31.4,6.69,10.0,97.3,1.23,276,85.51,91.01
26.89,3.54,0.09,64.75,1.9,51,85.89,95.38
28.96,11.17,2.86,97.35,2.15,408,82.03,88.43
27.53,17.48,0.93,87.35,2.09,150,78.92,85.61
27.05,9.98,1.0,81.26,1.08,70,90.45,92.36
34.25,12.52,2.81,61.31,1.55,107,76.23,85.71
31.79,10.25,5.01,79.02,1.97,438,93.97,87.18
26.54,9.7,6.03,76.31,2.27,229,94.09,90.01
34.5,12.76,1.72,66.45,0.9,478,82.46,83.07
31.54,9.13,0.88,86.26,1.92,390,78.51,74.62
34.06,10.8,3.1,98.85,2.07,398,78.52,82.82
33.15,10.97,0.58,82.49,2.42,69,84.47,88.87
25.86,8.0,1.66,88.59,2.35,304,91.59,88.51
27.2,12.98,0.89,62.74,2.29,366,80.77,91.71
33.74,9.48,2.14,76.71,1.6,87,88.3,83.02
33.05,7.73,0.55,64.65,1.05,197,81.47,92.9
29.9,11.61,0.43,84.51,1.8,74,79.14,85.93
30.59,7.3,5.01,97.54,2.5,435,70.75,88.02
36.39,10.08,0.21,86.47,2.7,170,70.12,89.52
27.04,9.97,1.41,63.07,2.36,465,76.82,78.09
32.74,13.26,0.5,74.19,2.21,75,82.19,79.98
28.99,11.42,0.08,82.03,2.19,218,95.54,79.81
28.91,9.92,0.07,76.13,1.72,372,93.95,90.36
35.49,12.45,0.39,93.35,1.93,274,78.01,83.47
34.13,14.17,4.03,92.59,2.83,50,77.34,95.14
34.07,11.67,0.66,84.47,1.53,356,76.82,85.02
36.53,10.03,6.01,74.94,2.81,310,80.18,77.64
30.11,6.06,1.74,70.21,1.84,62,84.95,81.64
33.41,6.8,1.15,64.23,2.66,452,83.16,85.59
28.45,9.08,1.74,74.2,1.3,445,76.55,87.58
31.62,8.17,1.45,76.53,2.29,97,73.91,80.08
29.35,9.44,2.84,87.03,1.63,458,70.38,87.84
30.48,10.17,0.66,86.33,1.29,362,74.62,89.18
32.98,11.59,0.87,62.8,2.11,420,91.16,81.8
25.91,9.79,4.49,75.81,2.5,340,77.31,94.85
40.46,11.46,5.85,67.27,1.58,381,84.06,82.34
24.97,10.19,4.46,66.27,1.25,143,87.74,80.0
23.93,4.07,1.09,93.09,1.95,310,96.61,77.35
35.79,7.18,3.03,61.68,1.96,327,96.67,91.1
33.96,9.57,1.29,76.77,2.27,408,92.37,85.11
33.12,6.37,1.38,66.73,2.47,254,71.05,82.6
33.14,11.8,0.46,95.17,1.97,234,87.25,77.63
29.94,14.59,1.79,82.28,2.93,224,93.6,83.05
25.51,13.66,0.41,69.26,2.11,487,70.52,96.91
30.38,9.36,0.81,80.1,1.83,436,86.49,74.28
26.61,14.47,3.86,89.26,1.19,429,95.73,81.84
34.88,10.45,0.46,98.32,1.87,358,84.22,93.96
29.26,8.99,0.15,68.82,1.83,464,70.12,91.24
25.87,8.16,0.14,95.45,2.48,118,70.33,82.15
28.39,9.09,5.65,97.37,2.23,153,82.5,86.02
32.06,8.84,1.41,96.66,1.41,295,74.65,87.31
27.18,10.51,1.05,85.42,2.09,210,89.93,85.67
25.89,10.48,3.33,85.19,2.34,249,91.26,93.92
31.22,10.01,3.61,76.13,2.76,265,75.34,86.7
31.22,11.31,0.81,90.1,2.44,483,96.66,90.68
27.47,13.57,2.37,81.25,2.38,261,83.26,85.91
27.64,12.85,2.95,87.1,2.03,65,74.29,74.84
31.16,5.55,2.13,77.14,2.19,421,92.93,79.04
22.76,2.34,0.33,89.26,2.62,381,93.7,80.08
22.96,12.8,4.17,92.98,1.33,254,89.18,83.75
26.41,5.9,1.55,65.86,1.83,414,95.6,95.39
28.93,9.33,0.66,93.32,1.61,88,92.12,86.81
31.55,6.49,1.11,81.61,2.19,138,96.47,84.47
37.38,4.59,0.08,93.79,2.62,479,83.02,91.19
34.29,11.62,0.27,77.25,1.7,305,92.43,77.74
29.2,12.28,2.9,75.16,0.8,303,99.99,82.55
29.9,8.27,0.0,96.6,1.79,265,91.75,81.81
24.99,2.23,1.08,70.05,2.46,417,73.43,86.99
29.91,8.36,1.48,93.77,2.27,352,85.55,89.48
28.56,11.18,0.11,79.36,2.21,221,87.62,87.36
31.61,5.56,7.23,80.56,1.86,186,75.23,87.44
25.86,10.55,0.51,72.34,1.36,433,98.89,83.19
32.6,9.95,0.73,82.92,2.26,227,75.27,86.6
37.66,11.74,0.72,73.01,1.58,126,75.33,80.8
29.46,10.36,0.52,61.57,3.09,237,97.46,88.37
32.01,7.08,0.0,70.88,2.29,64,83.96,82.5
33.45,13.59,2.61,60.26,1.71,341,71.9,79.39
27.99,9.52,6.81,99.13,1.69,368,87.95,85.19
31.12,9.92,0.51,98.63,1.95,374,88.05,75.43
30.06,7.2,2.18,75.81,1.88,263,71.94,92.37
30.49,8.67,2.71,89.13,2.56,257,99.18,88.99
26.13,7.35,3.77,73.83,2.09,218,86.32,86.68
30.12,9.48,1.1,86.84,1.63,379,86.79,76.88
32.49,15.14,0.72,92.22,2.95,329,85.6,81.5
37.26,5.88,0.79,97.87,2.02,354,88.32,85.2
34.8,5.16,2.49,76.01,2.38,195,77.93,83.68
40.77,14.41,3.39,91.33,1.7,312,78.62,76.56
26.16,9.37,0.4,70.64,2.18,53,85.34,78.42
34.36,7.99,0.93,99.61,2.16,139,94.2,83.58
30.92,13.12,4.64,61.03,1.06,109,71.5,78.58
40.95,8.18,3.29,84.14,3.01,360,88.1,91.86
25.96,15.48,8.38,86.38,2.65,65,94.2,87.47
25.8,12.03,2.81,87.52,1.8,276,74.71,80.98
27.0,8.54,1.0,64.82,1.45,78,70.45,90.85
19.38,16.47,1.79,97.54,2.17,200,79.38,89.84
27.37,8.18,2.16,67.25,2.04,294,87.64,86.44
26.2,12.23,0.16,84.91,2.18,319,74.15,84.8
30.75,10.9,1.57,68.91,2.1,128,82.78,83.51
31.71,13.91,2.47,72.29,2.25,482,86.57,82.3
39.38,14.68,0.37,81.86,2.72,338,87.97,78.32
34.75,10.1,3.03,76.69,2.28,202,78.23,92.64
27.12,7.74,1.75,66.41,1.48,326,82.0,82.4
25.51,11.38,6.08,66.84,2.68,450,93.35,85.14
32.46,7.97,0.09,76.73,2.82,328,98.24,80.45
23.4,16.04,0.62,90.29,3.58,106,95.86,83.7
39.16,10.41,1.84,95.92,1.44,235,86.93,99.25
35.9,8.9,0.7,63.37,2.12,447,82.31,81.37
27.65,10.55,2.51,75.72,0.96,142,79.99,92.24
21.43,5.96,2.85,64.01,2.28,325,73.75,84.86
36.77,7.09,0.22,60.66,1.73,207,73.2,88.4
29.43,13.6,1.44,86.47,2.96,324,90.65,91.22
36.19,8.03,1.42,84.1,1.61,230,77.79,86.36
22.03,6.86,0.92,66.52,1.16,408,77.64,83.24
27.0,11.61,5.4,69.35,1.76,489,99.95,84.07
30.03,13.56,3.51,60.95,1.01,126,75.64,84.24
30.23,12.16,2.39,93.4,2.38,200,74.44,94.32
27.75,12.99,2.51,98.99,0.97,495,72.96,77.58
33.11,7.73,1.24,65.42,2.01,287,87.39,76.15
24.66,5.73,5.08,69.26,0.96,338,88.84,76.48
29.29,14.5,2.37,94.74,1.84,280,80.96,80.53
30.6,9.03,2.61,97.06,2.82,67,86.06,88.5
32.57,9.25,3.96,76.79,2.18,122,93.65,88.81
33.56,13.98,0.64,62.02,1.57,466,94.54,81.96
24.38,11.67,3.29,61.58,1.98,465,98.74,84.86
22.33,11.37,0.43,82.96,2.01,238,94.73,79.42
36.39,16.5,0.85,75.72,2.24,487,86.95,79.88
31.66,8.07,0.82,61.15,1.32,66,75.39,87.9
26.26,12.78,7.68,83.33,2.3,68,72.99,90.24
37.76,10.17,3.88,60.45,0.65,268,71.64,82.62
30.58,10.81,2.42,91.49,1.69,375,90.0,93.18
35.9,14.59,2.6,72.26,1.76,169,94.23,89.83
30.34,11.52,1.65,61.61,2.32,150,85.26,92.96
40.3,11.61,5.88,83.53,2.01,83,71.64,83.5
38.78,13.22,1.37,75.91,1.3,133,86.06,92.6
28.76,8.91,0.96,98.95,1.51,458,98.07,95.9
34.86,7.48,0.36,81.77,2.1,245,87.93,82.94
33.23,6.87,3.09,71.01,1.96,379,94.28,84.23
36.84,4.1,2.65,88.38,1.71,251,94.0,80.26
25.18,16.17,0.97,70.86,1.76,393,97.96,79.28
33.43,6.69,0.05,96.17,2.35,390,93.11,79.34
35.29,9.34,3.65,74.99,1.74,60,92.43,80.94
21.21,9.17,0.02,81.99,1.96,396,77.02,86.37
24.08,10.92,2.43,62.02,3.08,449,71.8,81.15
19.8,12.45,7.03,77.04,1.29,267,85.53,86.22
28.65,12.58,1.15,93.29,1.07,494,73.73,86.32
33.59,8.25,0.54,92.23,2.39,302,98.87,82.65
37.51,9.5,2.44,68.97,1.66,271,78.7,84.69
30.37,10.85,3.4,69.04,1.84,432,95.59,82.36
38.14,9.25,1.58,92.69,1.61,418,81.63,83.45
23.1,14.82,6.82,97.22,1.87,129,79.7,80.96
21.48,11.47,0.11,63.81,2.8,56,98.05,85.42
29.72,12.2,1.41,78.0,2.4,321,80.9,82.0
31.92,11.99,2.53,73.5,2.43,276,81.71,79.17
29.84,13.52,3.97,94.83,1.29,65,73.18,87.97
19.66,10.54,0.4,63.34,1.42,473,90.11,88.14
29.55,6.11,3.22,68.45,0.58,61,78.67,90.56
23.48,11.2,1.61,90.1,1.6,340,87.57,79.88
33.35,8.05,1.01,62.05,2.48,290,87.74,82.6
31.83,8.41,0.28,79.7,2.26,70,91.58,86.15
25.3,11.76,4.01,77.68,1.89,227,92.36,82.49
27.43,13.71,0.34,73.38,1.99,476,85.43,87.85
24.7,10.06,0.74,75.78,1.66,277,79.93,87.49
29.69,10.93,0.69,81.2,2.1,322,95.12,87.4
34.78,15.11,4.1,66.45,2.38,337,79.3,92.3
25.07,10.72,2.23,82.88,1.19,346,85.23,88.22
32.52,17.81,3.19,92.22,2.15,183,82.04,85.77
27.35,11.7,0.58,90.41,2.47,332,95.65,84.03
26.04,4.72,1.96,66.16,1.79,453,82.96,84.38
29.46,12.26,1.7,65.97,2.35,202,81.58,79.68
24.82,11.14,3.58,70.73,3.41,115,90.69,76.17
27.23,13.87,4.73,74.44,1.95,186,88.07,87.32
24.01,12.02,0.02,76.34,2.2,141,73.22,91.12
39.82,9.58,2.24,87.19,1.63,486,85.25,83.35
30.18,6.33,0.11,62.27,2.09,366,92.06,92.94
26.5,9.37,1.59,61.39,2.23,471,99.76,84.12
